X(E/m),Y(N/m)
330349.235551554244012,4156712.037851596251130
330349.165095313859638,4156712.050391630735248
330349.103474442497827,4156712.062751157674938
330349.041853568982333,4156712.075110686477274
330348.980006001424044,4156712.076374251861125
330348.839093524380587,4156712.101454327348620
330348.786308020120487,4156712.113633346743882
330348.724233758402988,4156712.103800952900201
330348.600992015213706,4156712.128520013298839
330348.468688211403787,4156712.142323624342680
330348.415902705513872,4156712.154502646066248
330348.354281833511777,4156712.166862179059535
330348.292660961509682,4156712.179221711587161
330348.231040092010517,4156712.191581245046109
330348.116633717494551,4156712.216119803953916
330348.046177482116036,4156712.228659849613905
330347.922482348862104,4156712.231186995748430
330347.861088175734039,4156712.254642492625862
330347.790631938725710,4156712.267182541545480
330347.667163504054770,4156712.280805654358119
330347.605315937777050,4156712.282069230452180
330347.552757129829843,4156712.305344219785184
330347.482527591870166,4156712.328980232123286
330347.403009293368086,4156712.330604830756783
330347.341161727439612,4156712.331868408247828
330347.217919990594964,4156712.356587490532547
330347.085842888220213,4156712.381487086415291
330347.015386655344628,4156712.394027140922844
330346.891918220906518,4156712.407650263980031
330346.821461986284703,4156712.420190319884568
330346.689384885830805,4156712.445089921820909
330346.627764019882306,4156712.457449467387050
330346.574751820822712,4156712.458532539196312
330346.513130955281667,4156712.470892087090760
330346.442674721358344,4156712.483432144857943
330346.310597620438784,4156712.508331751450896
330346.248976755596232,4156712.520691300742328
330346.196191256865859,4156712.532870337367058
330346.134570390102454,4156712.545229886192828
330346.063887461496051,4156712.546673987060785
330345.940419030259363,4156712.560297125019133
330345.878798166115303,4156712.572656675241888
330345.755329735344276,4156712.586279815994203
330345.685100204078481,4156712.609915844164789
330345.623479338421021,4156712.622275398112833
330345.553023106826004,4156712.634815465193242
330345.429781378421467,4156712.659534572623670
330345.359325147408526,4156712.672074641566724
330345.297704284661449,4156712.684434196446091
330345.236083419993520,4156712.696793753653765
330345.112614993820898,4156712.710416904650629
330344.989146568113938,4156712.724040056578815
330344.927299006609246,4156712.725303652696311
330344.803603879176080,4156712.727830846793950
330344.741983017593157,4156712.740190405398607
330344.609452526608948,4156712.742898115422577
330344.476922033354640,4156712.745605828240514
330344.353453608695418,4156712.759228990878910
330344.282543978653848,4156712.749577143695205
330344.211634350824170,4156712.739925296977162
330344.158622152986936,4156712.741008383687586
330344.017029595037457,4156712.732800655532628
330343.955182031146251,4156712.734064260032028
330343.893107768555637,4156712.724231901578605
330343.822424838610459,4156712.725676020141691
330343.760577274661046,4156712.726939625106752
330343.698729712923523,4156712.728203229606152
330343.627820081601385,4156712.718551387079060
330343.521342284744605,4156712.698525644373149
330343.450659354508389,4156712.699969766195863
330343.317448757006787,4156712.669389611575752
330343.264209856744856,4156712.659376741386950
330343.202362294425257,4156712.660640350077301
330343.140288027818315,4156712.650807996746153
330343.087049129360821,4156712.640795128885657
330343.024748160387389,4156712.619866814464331
330342.891990964300931,4156712.611478589940816
330342.758780362899415,4156712.580898440908641
330342.616961096879095,4156712.561594774946570
330342.554660125868395,4156712.540666464250535
330342.492585857398808,4156712.530834116041660
330342.439346954924986,4156712.520821250509471
