X(E/m),Y(N/m)
330243.384875416872092,4156633.200003500562161
330243.209300474030897,4156633.259095696266741
330243.051623271778226,4156633.328922619577497
330242.867212881916203,4156633.388195439241827
330242.700473400414921,4156633.447107025887817
330242.525352127966471,4156633.528391160070896
330242.367674938286655,4156633.598218097351491
330242.218606374051888,4156633.656768453773111
330242.034422825439833,4156633.727137256413698
330241.859074733569287,4156633.797325443476439
330241.674891190777998,4156633.867694254964590
330241.491161314770579,4156633.960254996549338
330241.315813234134112,4156634.030443195719272
330241.140918818826322,4156634.122823323588818
330240.956962123629637,4156634.204288114793599
330240.790903168905061,4156634.296487629879266
330240.616008764656726,4156634.388867769390345
330240.441341197525617,4156634.492343876510859
330240.275509089813568,4156634.595639365725219
330240.101068364980165,4156634.710211443249136
330239.926400810712948,4156634.813687560614198
330239.760795549838804,4156634.928079023025930
330239.604025743785314,4156635.042289866134524
330239.438420491875149,4156635.156681335065514
330239.281877529341727,4156635.281988149043173
330239.116272284183651,4156635.396379624493420
330238.950667045835871,4156635.510771103203297
330238.794124097330496,4156635.636077925562859
330238.637354319798760,4156635.750288788694888
330238.463140477077104,4156635.875956865958869
330238.306370708567556,4156635.990167734213173
330238.140992327244021,4156636.115655193571001
330237.975387116253842,4156636.230046693701297
330237.810008744592778,4156636.355534159578383
330237.653465828916524,4156636.480841004755348
330237.497149757691659,4156636.617243817541748
330237.340606851503253,4156636.742550668772310
330237.184290790348314,4156636.878953486680984
330237.036583346547559,4156637.004079717211425
330236.880267293017823,4156637.140482541639358
330236.750457597489003,4156637.276343490462750
330236.602977003902197,4156637.412565693724900
330236.473394156084396,4156637.559522609692067
330236.352646762738004,4156637.706298903096467
330236.223063921846915,4156637.853255823720247
330236.111378826317377,4156638.010947455186397
330235.982249676133506,4156638.180096307303756
330235.888462327769957,4156638.348522651940584
330235.768168636655901,4156638.517490881029516
330235.683443585643545,4156638.696832565125078
330235.581047641404439,4156638.876535505056381
330235.523282624199055,4156639.077527236193419
330235.447393033071421,4156639.256688294932246
330235.362667999812402,4156639.436029983684421
330235.260498913237825,4156639.626828892156482
330235.202507069450803,4156639.816724660806358
330235.153123837430030,4156639.995343840681016
330235.059563369664829,4156640.174866160843521
330234.983673800074030,4156640.354027226101607
330234.943579703569412,4156640.554657705593854
330234.858854696271010,4156640.733999399933964
330234.792254266154487,4156640.935171765740961
330234.734262446581852,4156641.125067540910095
330234.676497469306923,4156641.326059278566390
330234.636176547210198,4156641.515593797899783
330234.587247021263465,4156641.716404908802360
330234.556215232762042,4156641.927950725425035
330234.533792047295719,4156642.128219951875508
330234.502760262461379,4156642.339765768963844
330234.489172526984476,4156642.539854365866631
330234.493709365429822,4156642.761773633304983
330234.488957075984217,4156642.961681601125747
330234.502329359063879,4156643.183420239482075
330234.515247958013788,4156643.382966951932758
330234.537228842149489,4156643.593428997322917
330234.558982883696444,4156643.792795080691576
330234.598407813115045,4156643.991799906827509
330234.629224137635902,4156644.202081324532628
330234.668875903764274,4156644.412182114087045
330234.690403099695686,4156644.600452233571559
330234.721219422994182,4156644.810733651742339
330234.734364858944900,4156645.021376327145845
330234.755892052780837,4156645.209646448027343
330234.769264329632279,4156645.431385088246316
330234.790791522362269,4156645.619655206799507
330234.803936956799589,4156645.830297882203013
330234.816628707456402,4156646.018748631235212
330234.838382742600515,4156646.218114715069532
330234.833176767337136,4156646.395830758381635
330234.846095361397602,4156646.595377471297979
330234.849724829313345,4156646.772912885528058
330234.862416576826945,4156646.961363634560257
330234.857664290815592,4156647.161271604709327
330234.861293759196997,4156647.338807017076761
330234.856541469576769,4156647.538714988622814
330234.860397780197673,4156647.727346366737038
330234.864254090934992,4156647.915977743454278
330234.876945842872374,4156648.104428492952138
330234.872193554765545,4156648.304336463101208
330234.884885306586511,4156648.492787212133408
330234.888741617673077,4156648.681418591644615
330234.901206522888970,4156648.858773376792669
330234.905062834150158,4156649.047404755838215
